TAM-418	Check: https://search.google.com/devtools/podcast/preview							
	Registrieren: https://pubsubhubbub.appspot.com/publish							
Ansprech-partner		Google Podcasts (2021-06-21)	Google Podcasts (2021-06-25)	RSS	TITLE	LANGUAGE	FORM	TOPIC
André Moeller		(nicht indiziert)	(nicht indiziert)	https://rss.dw.com/xml/DKpodcast_audiotrainer_de		DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	(nicht indiziert)	https://rss.dw.com/xml/DKpodcast_dwn1_de	Deutsch - warum nicht? Serie 1	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	(nicht indiziert)	https://rss.dw.com/xml/DKpodcast_dwn2_de	Deutsch - warum nicht? Serie 2	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	(nicht indiziert)	https://rss.dw.com/xml/DKpodcast_dwn3_de	Deutsch - warum nicht? Serie 3	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	https://www.google.com/podcasts?feed=aHR0cHM6Ly9yc3MuZHcuY29tL3htbC9ES3BvZGNhc3RfZHduNF9kZQ%3D%3D	https://rss.dw.com/xml/DKpodcast_dwn4_de	Deutsch - warum nicht? Serie 4	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	(nicht indiziert)	https://rss.dw.com/xml/DKpodcast_deutschtrainer_video_de	Der Deutschtrainer	DEUTSCHKURSE	VIDEO	EDUCATION
		(nicht indiziert)	(nicht indiziert)	https://rss.dw.com/xml/DKpodcast_deutschtrainer_audio_de	Der Deutschtrainer	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	(nicht indiziert)	https://rss.dw.com/xml/DKpodcast_radiod1_de	Radio D Teil 1	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	https://www.google.com/podcasts?feed=aHR0cHM6Ly9yc3MuZHcuY29tL3htbC9ES3BvZGNhc3RfcmFkaW9kMl9kZQ%3D%3D	https://rss.dw.com/xml/DKpodcast_radiod2_de	Radio D Teil 2	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	https://www.google.com/podcasts?feed=aHR0cHM6Ly9yc3MuZHcuY29tL3htbC9ES3BvZGNhc3RfdG9wdGhlbWFtaXR2b2thYmVsbl9kZQ%3D%3D	https://rss.dw.com/xml/DKpodcast_topthemamitvokabeln_de	Top-Thema mit Vokabeln	DEUTSCHKURSE	AUDIO	EDUCATION
		(nicht indiziert)	https://www.google.com/podcasts?feed=aHR0cHM6Ly9yc3MuZHcuY29tL3htbC9ES3BvZGNhc3RfYWxsdGFnc2RldXRzY2hfZGU%3D	http://rss.dw.com/xml/DKpodcast_alltagsdeutsch_de	Deutsche im Alltag - Alltagsdeutsch	DEUTSCHKURSE	AUDIO	EDUCATION
